Identifier,F518_21h,F518_29h,F518_33h,F518_37h,F518_41h,F518_45h,F518_49h,F518_53h,F518_57h
SCO7188,6.429834757,6.53201986,8.745869114,8.244576946,8.914013801,8.29510774,8.280305998,8.254191055,7.683275942
SCO7189,4.819879042,3.761698047,3.052184749,4.021183219,3.166853739,4.1145565,4.074646843,4.269993614,5.05957612
SCO7190,6.122767448,6.105458443,5.667500395,6.311235866,5.700104566,6.329988333,6.054263373,6.050931366,6.952869442
SCO7191,7.72346774,7.917418775,7.54931208,8.076794471,7.634895027,7.90190789,7.954031584,7.742353385,8.217182988
SCO7192,7.510301763,8.511093589,8.33607703,8.789400887,8.751059091,8.949008233,9.043117417,8.799678292,9.081293104
SCO7193,8.145913788,9.029431928,9.050231436,8.902393992,8.932902343,9.23988669,9.313119496,9.120908964,9.289068518
SCO7194,7.707213399,7.713964235,7.352124247,7.100799943,7.02066758,7.202031586,7.002691502,7.123745207,7.524701617
SCO7195,7.211320539,6.896450993,5.258997167,6.610175422,5.358282717,5.93966016,5.663690592,5.681557111,6.082445245
SCO7196,7.745545194,7.42506503,7.532914505,7.134465982,7.08763411,7.099298438,6.924822828,6.945278452,7.002010824
SCO7197,6.99184856,6.473016323,7.332354895,6.872641848,7.501781961,7.279511749,7.031459315,7.148885131,7.002583027
SCO7198,4.38238777,5.144105037,5.169684456,5.082125244,5.526316936,5.947890975,5.788110195,5.856668935,5.460912615
SCO7199,5.156269088,5.791866735,5.415173591,5.040871532,5.59583302,6.34115726,6.347118627,6.447748635,6.583384537
SCO7200,6.061867688,6.761637234,6.177343016,5.705454723,6.352072288,7.217841039,7.176151868,7.177226638,7.448601397
SCO7201,7.5764634,7.381569722,6.595535359,6.576127083,6.458616538,6.93155915,6.839143852,6.72011498,7.361809799
SCO7202,8.13285362,8.303281027,7.992215901,7.864262357,8.269837681,8.711706508,8.807677419,8.55456873,8.682257974
SCO7203,6.558939769,6.698081663,6.38313381,6.611983693,6.231394527,6.660591489,6.681564604,6.317269045,6.65361763
SCO7204,2.442979848,3.324740719,3.702184115,2.590691226,3.604957702,3.642983331,3.361545639,3.721451883,3.34227966
SCO7205,9.577103451,9.96564726,10.00270658,10.04710161,10.16285514,10.44481234,10.60803513,10.41335863,10.45883642
SCO7206,7.885141153,8.237442152,8.294970104,8.666260007,8.772588519,8.851362733,8.839505721,8.853985279,8.971158604
SCO7207,7.514358836,8.175088537,8.030292255,8.559265327,8.246661253,8.357879381,8.392120584,8.377268436,8.599309931
SCO7208,4.451935611,1.544553095,3.041500005,2.85088024,4.047819436,3.30979746,3.403122569,3.89431445,3.280669259
SCO7209,2.253083589,1.670024122,1.559574331,0.971985723,1.276024623,0.959230112,0.880570162,1.582008696,1.508067676
SCO7210,8.978911948,9.079562051,8.452045735,9.242568047,7.952045046,8.49269726,8.765258055,8.013433061,8.522463137
SCO7211,6.429706111,5.908838899,7.269006727,6.391119714,7.104005563,6.495220739,6.610849153,6.582158155,6.501569544
SCO7212,6.024174008,6.005098769,8.006365995,6.953675441,7.776197785,7.137157791,7.358309205,7.315870712,6.996004843
SCO7213,7.253669183,6.760793546,6.456746751,6.358404984,6.249620802,5.984788519,6.094964305,6.07498323,6.43964675
SCO7214,6.781066044,6.896378796,6.906828291,7.070206767,7.320785836,7.136038174,7.050537483,7.171589016,7.190948572
SCO7215,7.470246884,7.421005266,6.329231882,6.953540434,6.535523402,7.058398686,6.949159894,6.922707617,7.553924584
SCO7216,9.369130016,8.832385999,8.73600226,7.516339224,7.872527297,7.259145105,7.288405216,7.003476687,7.019212726
SCO7217,7.340352035,6.920149548,6.6523874,6.107338396,6.391419083,5.938628198,5.939740891,5.729012352,5.509477663
